# New set of DARK+FLAT+SCIENCE exps for readnoise calib after
# CCD timing update 20210128

# NIGHT EXPID
20210128 73409
20210128 73410
20210128 73412
20210128 73414

20210129 73597
20210129 73599
20210129 73601
20210129 73602
20210129 73604

20210130 73658
20210130 73702
20210130 73723
20210130 73724
20210130 73771

20210131 73810
20210131 73840
20210131 73841
20210131 73971
20210131 73972

20210205 74705
20210205 74740
20210205 74780
20210205 74800
20210205 74805
