# New set of DARK+FLAT+SCIENCE exps for readnoise calib thru 2022-03-21

# NIGHT EXPID
20220317 126582
20220317 126580
20220317 126578
20220317 126577
20220317 126576
20220317 126507
20220317 126504
20220317 126502
20220317 126574
20220317 126573
20220317 126462


20220318 126736
20220318 126735
20220318 126734
20220318 126733
20220318 126732
20220318 126731
20220318 126651
20220318 126650
20220318 126618

20220319 126899
20220319 126898
20220319 126890
20220319 126870
20220319 126869
20220319 126816
20220319 126814
20220319 126872
20220319 126871



